2006  12  -89.6667  25.9000	42001  0
2003  12  -94.4167  25.1667	42002  1
2005   8  -85.9139  26.0089	42003  0
2006  12  -88.7686  30.0903	42007  0
2006  12  -95.3600  27.9131	42019  0
2005   4  -96.6964  26.9442	42020  0
2006  12  -94.4083  29.2464	42035  0
2005   7  -84.5103  28.5061	42036  0
2004   5  -92.5753  27.4200	42038  1
2006   7  -86.0214  28.7939	42039  0
2004  11  -88.2136  29.1847	42040  1
2003  12  -90.4622  27.5039	42041  1
2005   5  -94.0458  22.0172	42055  1
2005   5  -85.0589  19.8742	42056  1
2006   6  -81.5006  16.8336	42057  1
2006   8  -75.0644  15.0925	42058  1
